chemical_name,synonyms,un_number,chris code,molecular_formula,appearance,specific_gravity,chemical_family,boiling_point,freezing_point,vapor_pressure (mmHg),reid vapor pressure,vapor_density,water_solubility,fire_grade,electrical_group,flash_point (F),flammable_limits,autoignition_temperature,fire_extinguishing_agent,special_fire_procedures,unusual_fire_explosion_hazards,health_hazard_rating,odor_threshold,permissible_exposure_limit,threshold_limit_value,symptoms,short_term_exposure,long_term_exposure,personal_protection,first_aid,stability,incompatibility,hazardous_decomposition_products,hazardous_polymerization,cargo_group,spill_or_leak_procedure,remarks,general_note,extraction_note,page_number,source,NOTE
ALKYLBENZENESULFONIC ACID,"decylbenzenesulfonic acid, Un-, Do-, Tri-, Tetra-, Penta- or Hexa-; Dodecylbenzenesulfonic acid",,ABS,CqH2q+1C6H4SO3(q=10-16),White to yellow liquid; odorless,1.0 to 1.4,Acids,,,,,,soluble,E: Combustible liquid,NA,395,Unavailable,Unavailable,"Alcohol foam, dry chemical, CO2",Water may be ineffective on fire.,Slightly flammable when exposed to heat or flame. Irritating sulfuric acid mist may form in fire. Flammable hydrogen gas may be produced on contact with metals.,Unavailable,Unavailable,Unavailable,Unavailable,"Irritation of eyes and skin. Ingestion causes irritation of mouth and stomach, nausea.",Unavailable,,,Eyes—flush with water for at least 15 minutes. Skin—flush with soap and water. Ingestion—give large amount of water.,Stable.,Attacks metals and gives off flammable hydrogen gas.,,,Unassigned in compatibility chart. See also Appendix I—Exceptions to the Chart.,"Avoid contact with liquid. Flush with water, rinse with dilute sodium bicarbonate or soda ash solution. Wear goggles or face shield and rubber gloves. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",* 4% or less is regulated by Subchapter D; over 4% is regulated by Subchapter O. + Unavailable. + Unassigned.,,,12,USCG Hazardous Chemical Data,
ALLYL ALCOHOL,Propenol; 1-Propenol-3; 1-Propen-3-ol; 2-Propenol; 2-Propen-1-ol; Propenyl alcohol; Vinyl carbinol,1098,ALA,CH2=CHCH2OH,Colorless liquid; pungent odor,0.85,Substituted allyl,97°C 206°F,-129°C -200°F,1.7,1,2,Complete,C: Flammable liquid,C,90 (oc); 70 (cc),2.5 to 18%,713,"CO2, dry chemical, alcohol foam, water fog","Use respiratory, body and eye protective equipment and clothing. Water may be ineffective. Cool exposed tanks with water.","Poisonous gases may be produced in a fire. Readily ignited by heat, sparks, or open flame. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.","3,2,3",2 to 5,2/Skin,2/Skin,"Vapor exposure—irritation to respiratory tract. Liquid splashed on the skin causes ""deep bone ache"" if not removed promptly. Disabling irritation and corneal injury to eyes may be delayed.",1000 ppm has been reported as fatal (exposure time not reported); 5 ppm can be tolerated for 30 minutes.,,,"Vapor—Remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—immediately flood affected areas gently with water for at least 15 minutes; remove contaminated clothing and shoes at once. Keep patient at rest and under observation for 24-48 hrs; effects may be delayed. Wash contaminated clothing before reuse, destroy shoes. Get medical help.",Chemically stable.,Swells rubber. Not corrosive to steel.,,,Group 15 of compatibility chart. See also Appendix I-Exceptions to the Chart.,"If possible, wear rubber gloves, face shield and protective clothing. Secure ignition sources. Use respiratory protection. Keep unprotected personnel upwind of contaminated area. Flush spill with water. May absorb very small spills with absorbent material (sand, etc.). If a spill occurs, call the National Response Center, 800-424-8802.",,Vapor poisonous if inhaled or if skin is exposed. Liquid is poisonous if swallowed or if skin is exposed. Vapor extremely irritating. Lung and eye injury may be delayed. Liquid causes severe burns. Grade B poison.,,13,USCG Hazardous Chemical Data,
ALLYL CHLORIDE,Chlorallylene; 1-Chloro-2-propene; 3-Chloropropene; 3-Chloro-1-propene; 3-Chloropropylene; alpha-Chloropropylene,1100,ALC,CH2=CHCH2Cl,Clear to strawberry colored liquid; sweetish odor,0.94,Substituted allyl,45°C 113°F,-134°C -209°F,294.3,10.3,2.64,0.003,B: Flammable liquid,D,-20 (cc),3.3 to 11.9%,737,"CO2, dry chemical, alcohol foam.",Water may be ineffective on fire. Cool exposed tanks with water spray. Firefighting personnel should be protected against hydrochloric acid fumes by wearing self-contained breathing apparatus and full protective clothing.,"Corrosive hydrogen chloride gas formed upon combustion. Becomes more reactive and corrosive when wet. Ignited by heat, sparks or open flame. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area.","3,2,3",above 1,1,1,Vapors are irritating to eyes and respiratory tract. The liquid irritates the skin.,Inhalation of 100 ppm for 60 minutes has been reported as fatal.,,,"Vapor—remove victim to fresh air. If breathing is difficult, administer oxygen; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical help.",Chemically stable.,Highly corrosive to steel and aluminum. Nickel and monel are suitable materials of construction.,Corrosive hydrogen chloride gas.,,Group 15 of compatibility chart.,"Wear rubber gloves, self-contained breathing apparatus and protective clothing. Avoid contact with liquid. Secure ignition sources. Do not flush spill into confined spaces where flammable vapors can accumulate. If a spill occurs, call the National Response Center, 800-424-8802.",,"Suspected carcinogen. Poisonous if inhaled, if swallowed, or if skin is exposed. Vapor extremely irritating. Liquid causes burns. Grade B poison.",,14,USCG Hazardous Chemical Data,
AMINOETHYLETHANOLAMINE,"2-[(2-Aminoethyl)amino]ethanol; N-(Aminoethyl)ethanolamine; N-(2-Aminoethyl)ethanolamine; Hydroxyethylethylenediamine; N-β-Hydroxyethylethylenediamine; N-Hydroxyethyl-1,2-ethylenediamine",,AEE,NH2CH2CH2NHCH2CH2OH,"Clear, colorless liquid with mild ammonical odor",1.03,Amine,243°C 469°F,-78°C -108°F,Low,Low,3.59,Complete,E: Combustible liquid,C,275,15.0 to 27.0%,695,"Carbon dioxide, dry chemical or alcohol foam",Cool exposed tanks with water. Water or foam may cause frothing.,No smoking or open lights.,"1,3,1",Unavailable,Unavailable,Unavailable,Liquid causes skin irritation with possibility of burns or prolonged contact. Vapor causes mild respiratory irritation.,Unavailable,,,"In case of eye contact, immediately flush eyes with plenty of low-pressure water for 15 minutes. If discomfort persists or reappears, see a physician.",Stable.,"Incompatible with copper, copper alloys, aluminum and zinc.",,,Group 8 of compatibility chart.,"Avoid contact with liquid. If possible, wear butyl rubber gloves, face shield, and protective clothing. Cover spill with sodium bisulfite. Spray with water and wash away with large excess of water. If a spill occurs, call the National Response Center, 800-424-8802.",+ Unassigned,Causes severe eye irritation.,,15,USCG Hazardous Chemical Data,
"AMMONIA, ANHYDROUS",Ammonia; Ammonia gas; H3N; Liquid ammonia,1005,AMA,NH3,"Colorless liquid or gas; pungent, highly irritating odor",0.77 at 0°C,Ammonia,-33°C -28°F,-78°C -108°F,6477,211.9,0.588,Appreciable,Liquefied Compressed Gas (LCG),D,"Indefinite, below 32°F (sometimes difficult to ignite). Not flammable under conditions likely to be encountered.",16 to 25%,1204,Stop the flow of gas (lighter than air); cool tanks with water spray.,"Use respiratory and body protection when approaching ammonia-contaminated atmosphere. Liberal use of water fog, where possible, will reduce vapor concentration.",Fire hazard when in high concentrations and at high temperature. Oil or other combustible vapors increase the fire hazard.,"4,2,2",approx. 50,Unavailable,25,"Coughing; burning sensation, eye irritation or pain. Frozen areas turn white.",A 2500 ppm (0.25%) concentration of ammonia in air may be fatal within 30 minutes.,,,"Remove victim to fresh air. Call a physician at once. If not breathing, apply artificial respiration, oxygen. If breathing is difficult, administer oxygen. Flush affected areas of body with plenty of water for 15 minutes. DO NOT FLUSH FROZEN AREAS. If the liquid has spilled onto the skin, points of contact may be frostbitten; handle gently and protect from mechanical damage. DO NOT RUB. Remove contaminated clothing and shoes. Get prompt medical attention. Low-velocity fog is effective for decontaminating the atmosphere.",Normally stable. Reacts with acidic materials.,"Corrosive to galvanized surfaces, copper and copper alloys. Iron and steel are suitable for the construction of containers, fittings and piping. Forms explosive compounds with mercury.",,,Group 6 of compatibility chart.,"Evacuate area in case of large leaks or tank rupture. Shut off leak if without risk. Wear self-contained breathing apparatus. If necessary to enter spill area, wear full protective clothing including boots. Water spray is extremely effective in absorbing ammonia gas and should be used around leaks of gas only. DO NOT PUT WATER ON LIQUID AMMONIA. If a spill occurs, call the National Response Center, 800-424-8802.",,Vapor extremely irritating. Liquid causes burns; will cause frostbite.,,16,USCG Hazardous Chemical Data,
AMMONIA SOLUTIONS,"Ammonia, aqueous; Ammonia water; Ammonium hydroxide; Aqua ammonia; Household ammonia; Spirit of Hartshorn",10-35%: 2672; 35-50%: 2073; 50% or more: 1005,AMH,NH4OH,Colorless liquid; pungent odor,0.88 at 20°C (liquid),Amine,Varies°C Varies°F,Varies°C Varies°F,Varies,Varies,1.21,Complete,,D,Varies,16 to 25%,1204,Water fog,"Due to the toxic and irritating nature of ammonia vapors, full respiratory protection must be provided for firefighters. Cool exposed tanks with water. Water fog will reduce vapor concentration.",Vapors are capable of forming an explosive mixture in air.,"2,2,2",approx. 50,Unavailable,Unavailable,"Liquid: varies from mild dermatitis to severe burns and skin destruction. Vapor: burning of the eyes, skin irritation, swelling of eyelids and lips, coughing.","400 ppm causes throat irritation & 700 ppm causes eye irritation, both with no serious results for exposure less than one hour; 1720 ppm causes convulsive coughing for exposure less than half an hour.",,,"Inhalation: remove victim to fresh air; if breathing stops apply artificial respiration; administer 100% O2. Skin contact: remove contaminated clothing; wash with cool H2O followed by lemon juice, vinegar, or 25% acetic acid; follow with more water.","See: Ammonia, anhydrous","Corrosive to galvanized surfaces, copper, copper alloys and aluminum alloys.",,,Group 6 of compatibility chart.,"See: Ammonia, anhydrous. If a spill occurs, call the National Response Center, 800-424-8802.",,Vapor extremely irritating. Liquid causes burns.,,17,USCG Hazardous Chemical Data,
"AMMONIUM SULFIDE SOLUTION, 45%",Ammonium monosulfide solution; Diammonium sulfide solution,2683,ASS,(NH4)2S,"Greenish to reddish yellow solution; strong ammonia, hydrogen sulfide (rotten eggs) odor",0.993 at 60°F,Caustics,38-100°C 100-212°F,-18°C 0°F,,22.7,,Complete,A: Flammable liquid,D,71.6 (cc),4.3 to 46% as hydrogen sulfide,Unavailable,"Water spray, foam, dry chemical, carbon dioxide","Wear eye protection, protective clothing and self-contained breathing apparatus.",Toxic sulfur oxides produced in fire. Liquid solution gives off ammonia and/or hydrogen sulfide gas depending on the pH; vapor evolution rate increases when heated. Flashback along vapor trail may occur. Vapor may explode in an enclosed area.,Unavailable,Unavailable,Unavailable,"10, as hydrogen sulfide","Eyes: irritation, conjunctivitis. Skin: irritation, corrosion, dermatitis, chemical burns. Ingestion: nausea, irritation and corrosion of mucous membranes and stomach. Inhalation: irritation, pulmonary edema, pneumonia, bronchitis, tracheitis, respiratory problems",,,,"Call physician. Inhalation: Remove to fresh air; give oxygen or artificial respiration as needed. Ingestion: If conscious, give large amounts of water or milk, but do not induce vomiting. Eyes: Hold eyelids open, flush with water for 15 minutes. Skin: Flush with large amounts of water for 15 minutes.","When heated, toxic hydrogen sulfide and/or ammonia evolve. Reacts with acids to form hydrogen sulfide. Reacts with bases to form ammonia.","Compatible with mild and stainless steel, neoprene, polypropylene. Incompatible with aluminum, brass, bronze, copper, tin, zinc","Hydrogen sulfide, ammonia (on heating).",,Group 5 of the compatibility chart,"Stop release if possible. Wear neoprene apron, gloves, boots, and goggles or full shield, plus self-contained breathing apparatus. Secure ignition sources. Dike large spills, prevent spill from entering sewers and drains, recover liquid, treat ground with diluted hydrogen peroxide. Absorb small spills with earth, sand, or other inert absorbant and properly dispose. If a spill occurs, call the National Response Center, 800-424-8802.","* At 100°F, bubbles of hydrogen sulfide gas form. + Unavailable",Mildly alkaline and evolves toxic hydrogen sulfide and/or ammonia depending on pH.,,18,USCG Hazardous Chemical Data,
iso-AMYL ACETATE,Amyl acetate; sec-Amyl acetate; Amylacetic ester; Banana oil; Isoamyl acetate; Isoamyl ethanoate; Isopentyl acetate; 3-Methyl-1-butanol acetate; 2-Methylbutyl ethanoate; Pear oil,1104,IAT,CH3COO(CH2)2CH(CH3)2,"Colorless liquid; pleasant fruity, banana-like odor",0.88,Ester,149°C 300°F,-70°C -94°F,4,0.1,4.5,Slight,D: Combustible liquid,D,100,1.1 to 7.5%,714,"CO2, dry chemical, alcohol foam, water fog",Water may be ineffective.,No smoking or open flames. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed space. Precautions should be taken to prevent the accumulation of static electricity.,"1,0,1",7 to 10,100,100,"Headache, dizziness, nausea; irritation of mucous membranes of eyes and respiratory tract, coughing.","500 to 1000 ppm for 30 to 60 minutes will produce definite irritation of eyes, throat, and trachea.",,,"Vapor—remove victim to fresh air; if breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.",Chemically stable.,"This compound will soften, then dissolve, a great many plastic materials, and rubber. Attacks asbestos.",,,Group 34 of compatibility chart.,"Wear rubber gloves, face shield, protective clothing. Have all-purpose canister mask available. Avoid contact with liquid. Secure ignition sources. Flush minor spills away with water. If a spill occurs, call the National Response Center, 800-424-8802.",-,Little hazard from inhalation below 500 ppm. It may dry and defat skin.,,19,USCG Hazardous Chemical Data,
n-AMYL ALCOHOL,Alcohol C-5; 1-Amyl alcohol; primary-n-Amyl alcohol; n-Butylcarbinol; 1-Pentanol; Pentyl alcohol,1105,AAN,CH3(CH2)4OH,Colorless liquid; mild odor,0.82,Alcohol,138°C 280°F,-79°C -110°F,Low,0.2,3.04,Slight,D: Combustible liquid,D,118,1.2 to 10.0%,572,"Carbon dioxide, dry chemical or alcohol foam.",Water may be ineffective on fire. Cool exposed tanks with water spray. Wear self-contained breathing apparatus.,"Moderate fire hazard when exposed to heat or flame. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area. When heated, it emits acrid fumes; can react with oxidizing materials.","1,0,2",0.12,Unavailable,Unavailable,"Vapor inhalation causes psychic stimulation, insomnia, palpitation of heart, headache, and vertigo.",150 ppm for 30 minutes.,,,"Vapor—remove victim to fresh air; if breathing stops or is very weak, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical advice or attention.",Very stable.,"Can be stored in copper, aluminum, or plain steel tanks.",,,Group 20 of compatibility chart.,"Wear rubber gloves, face shield, protective clothing. Have all-purpose canister mask available. Avoid contact with liquid. Secure ignition sources. If a spill occurs, call the National Response Center, 800-424-8802.",,Vapor may be irritant to the eyes and the upper respiratory tract.,,20,USCG Hazardous Chemical Data,
ANILINE,Aminobenzene; Aminophen; Aniline oil; Benenamine; Benzenamine; Blue oil; Phenylamine,1547,ANL,C6H5NH2,Oily colorless-to-brown liquid; odor not unpleasant,1.02,Amine,184°C 364°F,-6°C 21°F,2.4,0.02,3.22,0.03,E: Combustible liquid,D,158 (cc),LEL=1.3%; UEL=11%,1143,"CO2, dry chemical, alcohol foam, water spray",Protect personnel against exposure to either the vapor or liquid; wear full protective clothing and self-contained breathing apparatus.,Poisonous gas is produced when heated. Vapor may explode if ignited in an enclosed area.,"1,1,3",0.5,2/Skin,2/Skin,"Headache, weakness, irritability, dizziness, bluish discoloration of lips and fingernails, drowsiness, and unconsciousness.",50-100 ppm probably can be tolerated for 60 minutes.,,,"Remove victim to fresh air. Apply artificial respiration if needed. Remove any clothing wet with aniline. Flush exposed skin area thoroughly with water. Get medical attention as soon as possible. Administer oxygen if available. Keep patient at rest. Wash clothing thoroughly with strong soap solution before reuse, or destroy.",Stable. Reacts dangerously with oxidizing agents and inorganic acids.,Corrosive to copper and copper alloys. Not corrosive to iron or steel.,,,Group 9 of compatibility chart.,"Avoid contact with liquid. Wear butyl rubber gloves, plastic protective apron and self-contained breathing apparatus. Secure ignition sources. May mix with sand and soda ash mixture (90-10), scoop up into cardboard boxes and pack with excess crumpled paper. Then burn in open pit. If a spill occurs, call the National Response Center, 800-424-8802.",,"Suspected carcinogen. Poisonous by inhalation or skin absorption. It will cause cyanosis, a serious blood condition. Class B poison.",Health Hazard Ratings value printed as illegible characters in source ('ap'); left null rather than guessed.,21,USCG Hazardous Chemical Data,
ASPHALT (typical),Asphalt bitumen; Asphalt cement; Asphaltum; Bitumen; Judean pitch; Mineral pitch; Petroleum asphalt; Petroleum pitch; Tars liquid,1999,ASP,Mixture of solid or semi-solid hydrocarbons,Thick brown to black semisolid; tarry odor,0.9 to 1.1,Miscellaneous hydrocarbon mixture,371°C 694°F,Varies°C Varies°F,Varies,Varies,Varies,Negligible,Varies with the composition of the product.,D,50 to 400 depending on grade of asphalt,Varies,905,"CO2, dry chemical, foam, water fog",Water spray or foam may be ineffective because of frothing; apply cautiously. DO NOT direct a solid stream of water into hot asphalt.,"There are many grades of asphalt, each with different properties. For example, the flash point may vary from 50°F to over 400°F.","1,2,4",Unavailable,Unavailable,5 mg/m3,Fumes of hot asphalt can cause nausea and dizziness.,Unavailable,,,"If spilled onto skin, flood with water. Do not bind up, and do not try to scrub off adhering materials. Get medical attention.",Most grades are stable.,,,,Group 33 of compatibility chart.,"Avoid contact with hot liquid. Wear heavy work gloves, safety goggles or face shield, protective clothing for hot liquid. If asphalt heated above 212°F is spilled into water, persons nearby risk being scalded by the steam or hot water formed. Most grades of asphalt will present little or no problem if spilled. If a spill occurs, call the National Response Center, 800-424-8802.",,When heated to a liquid state it will cause severe burns. It is not corrosive. There is a possibility of skin poisoning or dermatitis by contact.,,22,USCG Hazardous Chemical Data,
BENZENE,Benzol; Benzole; Coal naphtha; Coal tar naphtha; Cyclohexatriene; Phene; Phenyl hydride,1114,BNZ,C6H6,"Clear colorless liquid with a typical, pleasant aromatic odor",0.88,Aromatic hydrocarbon,80°C 176°F,6°C 42°F,75,3.22,2.8,negligible,C: Flammable liquid.,D,12 (Benzene is solid at 12°F),1.4 to 8.0%,1076,"CO2, dry chemical, foam, water fog","Water may be ineffective on a fire. Fire parties must wear respiratory protection and rubber boots. In other respects, fight like a gasoline fire. Explosion hazard is great if ignition has not already occurred and hence civil defense authorities should also be alerted. Cool exposed tanks with water.","Extremely flammable. Ignited by heat, sparks, open flame. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area. Precautions must be taken to prevent static electricity buildup.","1,1,3",4.68,29 CFR 1910.1028,10,"Dizziness, headache, and drowsiness.","Vapor concentrations: 3000 ppm is endurable for 30-60 minutes (single exposure); 7500 ppm is dangerous in 30-60 minutes (single exposure); 20,000 ppm has been fatal in 5-10 minutes.",,,"Vapor—remove victim to fresh air; if breathing is difficult, administer oxygen. If breathing stops, apply artificial respiration. Skin or eye contact—remove contaminated clothing and gently flush affected areas with water for 15 minutes. Get medical help.",Stable under normal conditions.,"Rubber on prolonged exposure to benzene first swells, then softens.",,,Group 32 of compatibility chart.,"Wear rubber gloves, face shield, plastic coated clothing. Wear self-contained breathing apparatus. Approach from upwind side. Avoid contact with liquid. Secure ignition sources. Small spills may be flushed away with water. If a spill occurs, call the National Response Center, 800-424-8802.",,Benzene is a known carcinogen. Benzene vapors are severely toxic by inhalation. Benzene has a pleasant odor and narcotic effect and thus has poor warning properties.,"UN Number OCR'd as '1414' in text layer, which is not a valid UN number for benzene; standard UN number 1114 used based on cross-check. Vapor pressure and water solubility values were not legible in either the text layer or the 150dpi render and are left null pending a higher-resolution check.",23,USCG Hazardous Chemical Data,
"BENZENE, TOLUENE, XYLENE MIXTURES",Benzene concentrate; BTX mixtures; Coal tar light oil; Coke oven light oil; Dripolene; Light oil; Secondary light oil,,BTX,"Benzenes, toluenes, xylenes and other aromatic hydrocarbons","Yellow to amber liquid; characteristic ""gasoline"" odor",approx. 0.84,Aromatic hydrocarbon,,-25°C -13°F,75,5.6,2.8,Negligible,C: Flammable liquid.,"Unassigned (Benzene, D; Toluene, D; Xylene, D)",80,2.2 to 11.0%,approximately 1076,"Confined—CO2, dry chemical. Open—water, foam.","Fire parties must wear respiratory protection and rubber boots. In other respects, fight like gasoline fire. Explosion hazard is great.","Extremely flammable. Ignited by heat, sparks, open flame. Flashback along vapor trail may occur. Vapor may explode if ignited in an enclosed area. Precautions must be taken to prevent static electricity buildup.","1,1,3",0.01,*,see benzene,"Watering eyes, mild skin irritation, dizziness, headache and drowsiness.",Some evidence of carcinogenic behavior to animals has been observed for prolonged skin contact.,,,"Flush skin and eye contact at once with plenty of water. If inhaled, remove to fresh air. No specific antidote is known. Call a doctor.",Stable.,Steel and other metals completely resistant but not copper alloy. All elastomers are attacked and any coatings except baked phenolic are stripped. Most plastics are severely attacked.,,,Group 32 of compatibility chart.,"Wear rubber gloves, face shield, plastic coated clothing. Wear self-contained breathing apparatus. Approach from upwind side. Avoid contact with liquid. Secure ignition sources. Small spills may be flushed away with water. If a spill occurs, call the National Response Center, 800-424-8802.",{ Unavailable + Unassigned,Benzene is a known carcinogen. Mild irritant in contact with skin; avoid repeated or prolonged exposure. Minor injury from ingestion or inhalation—repeated contact may be more hazardous.,,24,USCG Hazardous Chemical Data,
BENZYL ALCOHOL,Benzene carbinol; alpha-Hydroxytoluene; Phenyl carbinol; Phenyl methyl alcohol,,BAL,C6H5CH2OH,Colorless liquid; mild pleasant aromatic odor,1.05 at 15°C,Aromatic alcohols,205°C 401°F,-15°C 5°F,<0.1,,3.73,0.044,E: Combustible liquid,D,220 (oc); 2.3 (cc),Unavailable,817,"Alcohol foam, dry chemical, carbon dioxide","Water and foam may cause frothing. Wear self-contained breathing apparatus, protective clothing. Use water to keep tanks cool.",Can give off toxic combustion products in a fire.,Unavailable,5.5,Unavailable,Unavailable,"Irritation to eyes, skin. Vapor irritates upper respiratory tract and produces headache, dizziness, nausea. Ingestion causes abdominal pain, vomiting, diarrhea.",Must have adequate ventilation or use respiratory protection.,,,"Eye contact: Flush with water for at least 15 minutes; call physician. Skin contact: Wash with soap and water for 15 minutes. Inhalation: Remove to fresh air, give oxygen if necessary; call physician. Ingestion: If conscious, give water, induce vomiting, contact physician.",Generally stable. Slowly oxidizes in air and oxygen. Reacts with mineral acids generating heat; reacts with strong oxidizers.,"Carried in stainless steel or phenolic resin lined mild steel tanks. Noncorrosive to steel and most metals but corrodes aluminum at high temperature. Will attack some non-fluorinated plastics, will not attack polypropylene.",,,Group 21 of compatibility chart.,"Wear goggles, face shield. Cover small spills with absorbent (sand, sawdust); dispose. Dike large spills for pumping to storage tank; dispose or reclaim. If a spill occurs, call the National Response Center, 800-424-8802.",† Unavailable,,Stray '1990' fragment appears near Remarks in source text layer (likely OCR bleed from an adjacent element); not included as it does not correspond to any labeled field.,25,USCG Hazardous Chemical Data,
BENZYL CHLORIDE,"Benzene, chloromethyl-; (Chloromethyl)benzene; alpha-Chlorotoluene; omega-Chlorotoluene",1738,BCL,C6H5CH2Cl,"Colorless to slightly yellowish liquid; pungent, aromatic, irritating odor",1.1 at 25/25°C,Halogenated hydrocarbon,179°C 355°F,-39°C -39°F,9,0.07,4.36,Negligible,E: Combustible liquid,D,165 (cc),LEL=1.1%; UEL=Unavailable,1085,"CO2, dry chemical, water fog","Use complete personal protective clothing. Wear self-contained breathing apparatus for indoor fires. Water mist may be used, but in large quantity to hold down hydrogen chloride fumes and flush away acid.",Moderate fire hazard. Keep away from open flame or ignition sources. Irritating gases are produced when heated. Decomposes with water to produce hydrogen chloride fumes.,"4,2,4",0.01,1,1,"Vapors are irritating to eyes and respiratory tract, causes tears and coughing, possible loss of sight. Liquid causes skin irritation resulting in burns on prolonged contact.",10 ppm for 30 minutes,,,"Vapor—remove victim to fresh air immediately, if breathing stops apply artificial respiration. Skin or eye contact—remove contaminated clothing and flush with large amounts of water for 15 minutes. Get medical advice or attention.",Unstabilization results in rapid condensation reaction in presence of particular metals. Liberates hydrogen chloride from decomposition reaction with water.,"Avoid copper, aluminum, iron, zinc, magnesium and tin; violent polymerization will result. Nickel is recommended.",Hydrogen chloride.,"Violent polymerization can result from contact with copper, aluminum, iron, zinc, magnesium, tin.",Group 36 of compatibility chart,"Wear full protective clothing, rubber boots, face shield, eye protection, self-contained breathing apparatus. Immediately flush with large quantities of cold water. Freely ventilate to remove odors. Sodium carbonate or lime can be used if water is unavailable. Remove all contaminated clothing and thoroughly clean.",,Suspected carcinogen. Vapor extremely irritating. Liquid causes burns.,,26,USCG Hazardous Chemical Data,
