49 CFR 172.101 Hazardous Materials Table,,,,,,,,,,,,,,,
Symbols,Hazardous materials description and proper shipping names,Hazard class or Division,ID Numbers,PG,Label Codes,Special provisions (172.102),Packaging (173.***),,,Quantity limitations,,Vessel stowage,,,
,Potassium phosphide,4.3,UN2012,I,"4.3, 6.1","A19, N40",None,211,None,Forbidden,15 kg,E,"40, 52, 85",,
,"Potassium selenate, see Selenates or Selenites",,,,,,,,,,,,,,
,"Potassium selenite, see Selenates or Selenites",,,,,,,,,,,,,,
,"Potassium sodium alloys, liquid",4.3,UN1422,I,4.3,"A7, A19, B27, N34, N40, T9, TP3, TP7, TP31",None,201,244,Forbidden,1 L,E,"40, 52",,
,"Potassium sodium alloys, solid",4.3,UN3404,I,4.3,"A19, B27, N34, N40, T9, TP7, TP33",None,211,244,Forbidden,15 kg,D,52,,
,"Potassium sulfide, anhydrous or Potassium sulfide with < 30% water of crystallization",4.2,UN1382,II,4.2,"A19, A20, B16, IB6, IP2, N34, T3, TP33",None,212,241,15 kg,50 kg,A,52,,
,"Potassium sulfide, hydrated with not < 30% water of crystallization",8,UN1847,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,A,52,,
,Potassium superoxide,5.1,UN2466,I,5.1,"A20, IB6, IP1",None,211,None,Forbidden,15 kg,B,"13, 52, 66, 75",,
,"Powder cake, wetted or Powder paste, wetted with not < 17% alcohol by mass",1.1C,UN0433,II,1.1C,,None,62,None,Forbidden,Forbidden,10,,,
,"Powder cake, wetted or Powder paste, wetted with not < 25% water, by mass",1.3C,UN0159,II,1.3C,,None,62,None,Forbidden,Forbidden,10,,,
,"Powder paste, see Powder cake, etc",,,,,,,,,,,,,,
,"Powder, smokeless",1.1C,UN0160,II,1.1C,,None,62,None,Forbidden,Forbidden,,26E,,
,"Powder, smokeless",1.3C,UN0161,II,1.3C,,None,62,None,Forbidden,Forbidden,,26E,,
,"Power device, explosive, see Cartridges, power device",,,,,,,,,,,,,,
,"Primers, cap type",1.4S,UN0044,II,None,,None,62,None,25 kg,100 kg,5,,,
,"Primers, cap type",1.4B,UN0378,II,1.4B,,None,62,None,Forbidden,75 kg,6,,,
,"Primers, cap type",1.1B,UN0377,II,1.1B,,None,62,None,Forbidden,Forbidden,11,,,
,"Primers, small arms, see Primers, cap type",,,,,,,,,,,,,,
,"Primers, tubular",1.3G,UN0319,II,1.3G,,None,62,None,Forbidden,Forbidden,7,,,
,"Primers, tubular",1.4G,UN0320,II,1.4G,,None,62,None,Forbidden,75 kg,6,,,
,"Primers, tubular",1.4S,UN0376,II,None,,None,62,None,25 kg,100 kg,5,,,
,"Printing ink, flammable or Printing ink related material (including printing ink thinning or reducing compound), flammable",3,UN1210,I,3,"T11, TP1, TP8",150,173,243,1 L,30 L,E,,,
,"Printing ink, flammable or Printing ink related material (including printing ink thinning or reducing compound), flammable",3,UN1210,II,3,"149, IB2, T4, TP1, TP8",150,173,242,5 L,60 L,B,,,
,"Printing ink, flammable or Printing ink related material (including printing ink thinning or reducing compound), flammable",3,UN1210,III,3,"B1, IB3, T2, TP1",150,173,242,60 L,220 L,A,,,
,"Projectiles, illuminating, see Ammunition, illuminating, etc",,,,,,,,,,,,,,
,"Projectiles, inert with tracer",1.4S,UN0345,II,1.4S,,,62,None,25 kg,100 kg,1,,,
,"Projectiles, inert, with tracer",1.3G,UN0424,II,1.3G,,,62,None,Forbidden,Forbidden,3,,,
,"Projectiles, inert, with tracer",1.4G,UN0425,II,1.4G,,,62,None,Forbidden,75 kg,2,,,
,"Projectiles, with burster or expelling charge",1.2D,UN0346,II,1.2D,,,62,None,Forbidden,Forbidden,3,,,
,"Projectiles, with burster or expelling charge",1.4D,UN0347,II,1.4D,,,62,None,Forbidden,75 kg,2,,,
,"Projectiles, with burster or expelling charge",1.2F,UN0426,II,1.2F,,,62,None,Forbidden,Forbidden,8,,,
,"Projectiles, with burster or expelling charge",1.4F,UN0427,II,1.4F,,,62,None,Forbidden,Forbidden,8,,,
,"Projectiles, with burster or expelling charge",1.2G,UN0434,II,1.2G,,,62,None,Forbidden,Forbidden,3,,,
,"Projectiles, with burster or expelling charge",1.4G,UN0435,II,1.4G,,,62,None,Forbidden,75 kg,2,,,
,"Projectiles, with bursting charge",1.1F,UN0167,II,1.1F,,,62,None,Forbidden,Forbidden,8,,,
,"Projectiles, with bursting charge",1.1D,UN0168,II,1.1D,,,62,None,Forbidden,Forbidden,3,,,
,"Projectiles, with bursting charge",1.2D,UN0169,II,1.2D,,,62,None,Forbidden,Forbidden,3,,,
,"Projectiles, with bursting charge",1.2F,UN0324,II,1.2F,,,62,None,Forbidden,Forbidden,8,,,
,"Projectiles, with bursting charge",1.4D,UN0344,II,1.4D,,,62,None,Forbidden,75 kg,2,,,
,"Propadiene mixed with methyl acetylene, see Methyl acetylene and propadiene mixtures, stabilized",,,,,,,,,,,,,,
,"Propadiene, stabilized",2.1,UN2200,,2.1,,None,304,"314, 315",Forbidden,150 kg,B,40,,
,"Propane see also Petroleum gases, liquefied",2.1,UN1978,,2.1,"19, T50",306,304,"314, 315",Forbidden,150 kg,E,40,,
,Propanethiols,3,UN2402,II,3,"A6, IB2, T4, TP1, TP13",150,202,242,5 L,60 L,E,"95, 102",,
,"n-Propanol or Propyl alcohol, normal",3,UN1274,II,3,"B1, IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,"n-Propanol or Propyl alcohol, normal",3,UN1274,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,"Propellant, liquid",1.1C,UN0497,II,1.1C,37,None,62,None,Forbidden,Forbidden,10,,,
,"Propellant, liquid",1.3C,UN0495,II,1.3C,37,None,62,None,Forbidden,Forbidden,10,,,
,"Propellant, solid",1.4C,UN0501,,1.4C,,None,62,None,Forbidden,Forbidden,A,24E,,
,"Propellant, solid",1.1C,UN0498,II,1.1C,,None,62,None,Forbidden,Forbidden,,26E,,
,"Propellant, solid",1.3C,UN0499,II,1.3C,,None,62,None,Forbidden,Forbidden,,26E,,
,Propionaldehyde,3,UN1275,II,3,"IB2, T7, TP1",150,202,242,5 L,60 L,E,,,
,Propionic acid with not < 10% and < 90% acid by mass,8,UN1848,III,8,"IB3, T4, TP1",154,203,241,5 L,60 L,A,,,
,Propionic acid with not < 90% acid by mass,8,UN3463,II,"8, 3","IB2, T7, TP2",154,202,243,1 L,30 L,A,,,
,Propionic anhydride,8,UN2496,III,8,"IB3, T4, TP1",154,203,241,5 L,60 L,A,,,
,Propionitrile,3,UN2404,II,"3, 6.1","IB2, T7, TP1, TP13",None,202,243,Forbidden,60 L,E,40,,
,Propionyl chloride,3,UN1815,II,"3, 8","IB1, T7, TP1",150,202,243,1 L,5 L,B,40,,
,n-Propyl acetate,3,UN1276,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,"Propyl alcohol, see Propanol",,,,,,,,,,,,,,
,Propylamine,3,UN1277,II,"3, 8","A7, IB2, N34, T7, TP1",150,202,243,1 L,5 L,E,40,,
,n-Propyl benzene,3,UN2364,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Propyl chloride see 1-Chloropropane,,,,,,,,,,,,,,
,n-Propyl chloroformate,6.1,UN2740,I,"6.1, 3, 8","2, B9, B14, B32, B74, B77, N34, T20, TP2, TP13, TP38, TP44",None,227,244,Forbidden,Forbidden,B,"21, 40, 100",,
,Propylene chlorohydrin,6.1,UN2611,II,"6.1, 3","IB2, T7, TP2, TP13",153,202,243,5 L,60 L,A,"12, 40, 48",,
,"1,2-Propylenediamine",8,UN2258,II,"8, 3","A3, A6, IB2, N34, T7, TP2",None,202,243,1 L,30 L,A,40,,
,"Propyleneimine, stabilized",3,UN1921,I,"3, 6.1","A3, N34, T14, TP2, TP13",None,201,243,1 L,30 L,B,40,,
,Propylene oxide,3,UN1280,I,3,"A3, N34, T11, TP2, TP7",None,201,243,1 L,30 L,E,40,,
,"Propylene see also Petroleum gases, liquefied",2.1,UN1077,,2.1,"19, T50",306,304,"314, 315",Forbidden,150 kg,E,40,,
,Propylene tetramer,3,UN2850,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Propyl formates,3,UN1281,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,n-Propyl isocyanate,6.1,UN2482,I,"6.1, 3","1, B9, B14, B30, B72, T22, TP2, TP13, TP38, TP44",None,226,244,Forbidden,Forbidden,D,40,,
,"Propyl mercaptan, see Propanethiols",,,,,,,,,,,,,,
,n-Propyl nitrate,3,UN1865,II,3,IB9,150,202,None,5 L,60 L,D,"44, 89, 90, 100",,
,Propyltrichlorosilane,8,UN1816,II,"8, 3","A7, B2, B6, IB2, N34, T7, TP2, TP13",None,202,243,Forbidden,30 L,C,40,,
,"Prussic acid, see Hydrogen cyanide",,,,,,,,,,,,,,
,"Pyrethroid pesticide, liquid, flammable, toxic, flash point < 23 degrees C",3,UN3350,I,"3, 6.1","T14, TP2, TP13, TP27",None,201,243,Forbidden,30 L,B,40,,
,"Pyrethroid pesticide, liquid, flammable, toxic, flash point < 23 degrees C",3,UN3350,II,"3, 6.1","IB2, T11, TP2, TP13, TP27",150,202,243,1 L,60 L,B,40,,
,"Pyrethroid pesticide, liquid toxic",6.1,UN3352,I,6.1,"T14, TP2, TP13, TP27",None,211,242,1 L,30 L,A,40,,
,"Pyrethroid pesticide, liquid toxic",6.1,UN3352,II,6.1,"IB2, T11, TP2, TP27",153,212,242,5 L,60 L,A,40,,
,"Pyrethroid pesticide, liquid toxic",6.1,UN3352,III,6.1,"IB3, T7, TP2, TP28",153,213,240,60 L,220 L,A,40,,
,"Pyrethroid pesticide, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN3351,I,"6.1, 3","T14, TP2, TP13, TP27",None,201,243,1 L,30 L,B,40,,
,"Pyrethroid pesticide, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN3351,II,"6.1, 3","IB2, T11, TP2, TP13, TP27",153,202,243,5 L,60 L,B,40,,
,"Pyrethroid pesticide, liquid, toxic, flammable, flash point not < 23 degrees C",6.1,UN3351,III,"6.1, 3","IB3, T7, TP2, TP28",153,203,241,60 L,220 L,B,40,,
,"Pyrethroid pesticide, solid, toxic",6.1,UN3349,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,A,40,,
,"Pyrethroid pesticide, solid, toxic",6.1,UN3349,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,40,,
,"Pyrethroid pesticide, solid, toxic",6.1,UN3349,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,40,,
,Pyridine,3,UN1282,II,3,"IB2, T4, TP2",None,202,242,5 L,60 L,B,"21, 100",,
,Pyridine perchlorate,Forbidden,,,,,,,,,,,,,
G ,"Pyrophoric liquid, inorganic, n.o.s.",4.2,UN3194,I,4.2,,None,181,244,Forbidden,Forbidden,D,18,,
G ,"Pyrophoric liquids, organic, n.o.s.",4.2,UN2845,I,4.2,"B11, T22, TP2, TP7",None,181,244,Forbidden,Forbidden,D,18,,
G ,"Pyrophoric metals, n.o.s., or Pyrophoric alloys, n.o.s.",4.2,UN1383,I,4.2,"B11, T21, TP7, TP33",None,187,242,Forbidden,Forbidden,D,,,
G ,"Pyrophoric solid, inorganic, n.o.s.",4.2,UN3200,I,4.2,"T21, TP7, TP33",None,187,242,Forbidden,Forbidden,D,,,
G ,"Pyrophoric solids, organic, n.o.s.",4.2,UN2846,I,4.2,,None,187,242,Forbidden,Forbidden,D,,,
,Pyrosulfuryl chloride,8,UN1817,II,8,"B2, IB2, T8, TP2, TP12",154,202,242,1 L,30 L,C,40,,
,"Pyroxylin solution or solvent, see Nitrocellulose",,,,,,,,,,,,,,
,Pyrrolidine,3,UN1922,II,"3, 8","IB2, T7, TP1",150,202,243,1 L,5 L,B,"40, 52",,
,Quebrachitol pentanitrate,Forbidden,,,,,,,,,,,,,
,"Quicklime, see Calcium oxide",,,,,,,,,,,,,,
,Quinoline,6.1,UN2656,III,6.1,"IB3, T4, TP1",153,203,241,60 L,220 L,A,12,,
,"R 114, see Dichlorotetrafluoroethane",,,,,,,,,,,,,,
,"R 115, see Chloropentafluoroethane",,,,,,,,,,,,,,
,"R 116, see Hexafluoroethane",,,,,,,,,,,,,,
,"R 124, see Chlorotetrafluoroethane",,,,,,,,,,,,,,
,"R 12B1, see Chlorodifluorobromomethane",,,,,,,,,,,,,,
,"R 12, see Dichlorodifluoromethane",,,,,,,,,,,,,,
,"R 133a, see Chlorotrifluoroethane",,,,,,,,,,,,,,
,"R 13B1, see Bromotrifluoromethane",,,,,,,,,,,,,,
,"R 13, see Chlorotrifluoromethane",,,,,,,,,,,,,,
,"R 14, see Tetrafluoromethane",,,,,,,,,,,,,,
,"R 152a, see Difluoroethane",,,,,,,,,,,,,,
,"R 21, see Dichlorofluoromethane",,,,,,,,,,,,,,
,"R 22, see Chlorodifluoromethane",,,,,,,,,,,,,,
,"R 500, see Dichlorodifluoromethane and difluorethane, etc",,,,,,,,,,,,,,
,"R 502, see Chlorodifluoromethane and chloropentafluoroethane mixture, etc",,,,,,,,,,,,,,
,"R 503, see Chlorotrifluoromethane and trifluoromethane, etc",,,,,,,,,,,,,,
,"Radioactive material, excepted package-articles manufactured from natural uranium or depleted uranium or natural thorium",7,UN2909,,None,,"422, 426","422, 426","422, 426",,,A,,,
,"Radioactive material, excepted package-empty packaging",7,UN2908,,Empty,,"422, 428","422, 428","422, 428",,,A,,,
,"Radioactive material, excepted package-instruments or articles",7,UN2911,,None,,"422, 424","422, 424",,,,A,,,
,"Radioactive material, excepted package-limited quantity of material",7,UN2910,,None,,"421, 422","421, 422","421, 422",,,A,,,
,"Radioactive material, low specific activity (LSA-III) non fissile or fissile excepted",7,UN3322,,7,"A56, T5, TP4, W7","421, 422, 428",427,427,,,A,"95, 129",,
,"Radioactive material, low specific activity (LSA-II) non fissile or fissile-excepted",7,UN3321,,7,"A56, T5, TP4, W7","421, 422, 428",427,427,,,A,"95, 129",,
,"Radioactive material, low specific activity (LSA-I) non fissile or fissile-excepted",7,UN2912,,7,"A56, T5, TP4, W7","421, 422, 428",427,427,,,A,"95, 129",,
,"Radioactive material, surface contaminated objects (SCO-I or SCO-II) non fissile or fissile-excepted",7,UN2913,,7,A56,"421, 422, 428",427,427,,,A,95,,
,"Radioactive material, transported under special arrangement, fissile",7,UN3331,,7,"A56, 139",,,,,,A,"95, 105",,
,"Radioactive material, transported under special arrangement, non fissile or fissile excepted",7,UN2919,,7,"A56, 139",,,,,,A,"95, 105",,
,"Radioactive material, Type A package, fissile non-special form",7,UN3327,,7,"A56, W7, W8",453,417,417,,,A,"95, 105, 131",,
,"Radioactive material, Type A package non-special form, non fissile or fissile-excepted",7,UN2915,,7,"A56, W7, W8",,"415, 418","415, 419",,,A,"95, 130",,
,"Radioactive material, Type A package, special form, fissile",7,UN3333,,7,"A56, W7, W8",453,"417, 476","417, 476",,,A,"95, 105",,
,"Radioactive material, Type A package, special form non fissile or fissile-excepted",7,UN3332,,7,"A56, W7, W8",,"415, 476","415, 476",,,A,95,,
,"Radioactive material, Type B(M) package, fissile",7,UN3329,,7,A56,453,417,417,,,A,"95, 105",,
,"Radioactive material, Type B(M) package non fissile or fissile-excepted",7,UN2917,,7,A56,,416,416,,,A,"95, 105",,
,"Radioactive material, Type B(U) package, fissile",7,UN3328,,7,A56,453,417,417,,,A,"95, 105",,
,"Radioactive material, Type B(U) package non fissile or fissile-excepted",7,UN2916,,7,A56,,416,416,,,A,"95, 105",,
,"Radioactive material, uranium hexafluoride, fissile",7,UN2977,,"7, 8",,453,"417, 420","417, 420",,,A,"95, 132",,
,"Radioactive material, uranium hexafluoride non fissile or fissile-excepted",7,UN2978,,"7, 8",,423,"420, 427","420, 427",,,A,"95, 132",,
A W ,"Rags, oily",4.2,UN1856,III,4.2,,151,213,240,Forbidden,Forbidden,A,,,
,"Railway torpedo, see Signals, railway track, explosive",,,,,,,,,,,,,,
,"RC 318, see Octafluorocyclobutane",,,,,,,,,,,,,,
,"RDX and cyclotetramethylenetetranitramine, wetted or desensitized see RDX and HMX mixtures, wetted or desensitized",,,,,,,,,,,,,,
,"RDX and HMX mixtures, wetted with not < 15% water by mass or RDX and HMX mixtures, desensitized with not < 10% phlegmatizer by mass",1.1D,UN0391,II,1.1D,,None,62,None,Forbidden,Forbidden,10,,,
,"RDX and Octogen mixtures, wetted or desensitized see RDX and HMX mixtures, wetted or desensitized etc",,,,,,,,,,,,,,
,"RDX, see Cyclotrimethylene trinitramine, etc",,,,,,,,,,,,,,
,"Receptacles, small, containing gas (gas cartridges) flammable, without release device, not refillable and not exceeding 1 L capacity",2.1,UN2037,,2.1,,306,304,None,1 kg,15 kg,B,40,,
,"Receptacles, small, containing gas (gas cartridges) non-flammable, without release device, not refillable and not exceeding 1 L capacity",2.2,UN2037,,"2.2, 5.1",A14,306,304,None,1 kg,15 kg,B,40,,
,"Red phosphorus, see Phosphorus, amorphous",,,,,,,,,,,,,,
G ,"Refrigerant gases, n.o.s.",2.2,UN1078,,2.2,T50,306,304,"314, 315",75 kg,150 kg,A,,,
D ,"Refrigerant gases, n.o.s. or Dispersant gases, n.o.s.",2.1,NA1954,,2.1,T50,306,304,"314, 315",Forbidden,150 kg,D,40,,
,Refrigerant gas R 404A,2.2,UN3337,,2.2,T50,306,304,"314, 315",75 kg,150 kg,A,,,
,Refrigerant gas R 407A,2.2,UN3338,,2.2,T50,306,304,"314, 315",75 kg,150 kg,A,,,
,Refrigerant gas R 407B,2.2,UN3339,,2.2,T50,306,304,"314, 315",75 kg,150 kg,A,,,
,Refrigerant gas R 407C,2.2,UN3340,,2.2,T50,306,304,"314, 315",75 kg,150 kg,A,,,
,"Refrigerating machines, containing flammable, non-toxic, liquefied gas",2.1,UN3358,,2.1,,"306, 307",306,306,Forbidden,Forbidden,D,40,,
,"Refrigerating machines, containing non-flammable, non-toxic, or ammonia solutions (UN2672)",2.2,UN2857,,2.2,A53,"306, 307",306,"306, 307",450 kg,450 kg,A,,,
,"Regulated medical waste, n.o.s. or Clinical waste, unspecified n.o.s. or (BIO) Medical waste, n.o.s.",6.2,UN3291,II,6.2,A13,134,197,197,No limit,No limit,B,40,,
,"Release devices, explosive",1.4S,UN0173,II,1.4S,,None,62,None,25 kg,100 kg,5,,,
,"Resin solution, flammable",3,UN1866,I,3,"B52, T11, TP1, TP8, TP28",150,201,243,1 L,30 L,E,,,
,"Resin solution, flammable",3,UN1866,II,3,"149, B52, IB2, T4, TP1, TP8",150,173,242,5 L,60 L,B,,,
,"Resin solution, flammable",3,UN1866,III,3,"B1, B52, IB3, T2, TP1",150,173,242,60 L,220 L,A,,,
,Resorcinol,6.1,UN2876,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,"Rifle grenade, see Grenades, hand or rifle, etc",,,,,,,,,,,,,,
,"Rifle powder, see Powder, smokeless (UN 0160)",,,,,,,,,,,,,,
,"Rivets, explosive",1.4S,UN0174,II,1.4S,,None,62,None,25 kg,100 kg,5,,,
,"Road asphalt or tar liquid, see Tars, liquid, etc",,,,,,,,,,,,,,
,Rocket motors,1.3C,UN0186,II,1.3C,109,None,62,None,Forbidden,220 kg,3,,,
,Rocket motors,1.1C,UN0280,II,1.1C,109,None,62,None,Forbidden,Forbidden,3,,,
,Rocket motors,1.2C,UN0281,II,1.2C,109,None,62,None,Forbidden,Forbidden,3,,,
,"Rocket motors, liquid fueled",1.2J,UN0395,II,1.2J,109,None,62,None,Forbidden,Forbidden,4,23E,,
,"Rocket motors, liquid fueled",1.3J,UN0396,II,1.3J,109,None,62,None,Forbidden,Forbidden,4,23E,,
,Rocket motors with hypergolic liquids with or without an expelling charge,1.3L,UN0250,II,1.3L,109,None,62,None,Forbidden,Forbidden,8,"8E, 14E, 15E",,
,Rocket motors with hypergolic liquids with or without an expelling charge,1.2L,UN0322,II,1.2L,109,None,62,None,Forbidden,Forbidden,8,"8E, 14E, 15E",,
,"Rockets, line-throwing",1.2G,UN0238,II,1.2G,,None,62,None,Forbidden,Forbidden,7,,,
,"Rockets, line-throwing",1.3G,UN0240,II,1.3G,,None,62,None,Forbidden,75 kg,7,,,
,"Rockets, line-throwing",1.4G,UN0453,II,1.4G,,None,62,None,Forbidden,75 kg,6,,,
,"Rockets, liquid fueled with bursting charge",1.1J,UN0397,II,1.1J,,None,62,None,Forbidden,Forbidden,4,23E,,
,"Rockets, liquid fueled with bursting charge",1.2J,UN0398,II,1.2J,,None,62,None,Forbidden,Forbidden,4,23E,,
,"Rockets, with bursting charge",1.1F,UN0180,II,1.1F,,None,62,None,Forbidden,Forbidden,8,,,
,"Rockets, with bursting charge",1.2E,UN0182,II,1.2E,,None,62,None,Forbidden,Forbidden,3,,,
,"Rockets, with bursting charge",1.2F,UN0295,II,1.2F,,None,62,None,Forbidden,Forbidden,8,,,
,"Rockets, with bursting charge",1.1E,UN0181,II,1.1E,,None,62,None,Forbidden,Forbidden,3,,,
,"Rockets, with expelling charge",1.2C,UN0436,II,1.2C,,None,62,None,Forbidden,Forbidden,3,,,
,"Rockets, with expelling charge",1.3C,UN0437,II,1.3C,,None,62,None,Forbidden,Forbidden,3,,,
,"Rockets, with expelling charge",1.4C,UN0438,II,1.4C,,None,62,None,Forbidden,75 kg,2,,,
,"Rockets, with inert head",1.3C,UN0183,II,1.3C,,None,62,None,Forbidden,Forbidden,3,,,
,"Rockets, with inert head",1.2C,UN0502,,1.2C,,None,62,None,Forbidden,Forbidden,B,"1E, 5E",,
,Rosin oil,3,UN1286,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Rosin oil,3,UN1286,II,3,"IB2, T4, TP1",150,202,242,5 L,60 L,B,,,
,"Rubber scrap or shoddy, powdered or granulated, not exceeding 840 microns and rubber contend exceeding 45%",4.1,UN1345,II,4.1,"IB8, IP2, IP4, T3, TP33",151,212,240,15 kg,50 kg,A,,,
,Rubber solution,3,UN1287,III,3,"B1, IB3, T2, TP1",150,203,242,60 L,220 L,A,,,
,Rubber solution,3,UN1287,II,3,"149, IB2, T4, TP1, TP8",150,202,242,5 L,60 L,B,,,
,Rubidium,4.3,UN1423,I,4.3,"22, A7, A19, IB4, IP1, N34, N40, N45",None,211,242,Forbidden,15 kg,D,52,,
,Rubidium hydroxide,8,UN2678,II,8,"IB8, IP2, IP4, T3, TP33",154,212,240,15 kg,50 kg,A,"29, 52",,
,Rubidium hydroxide solution,8,UN2677,II,8,"B2, IB2, T7, TP2",154,202,242,1 L,30 L,A,"29, 52",,
,Rubidium hydroxide solution,8,UN2677,III,8,"IB3, T4, TP1",154,203,241,5 L,60 L,A,"29, 52",,
,"Safety fuse, see Fuse, safety",,,,,,,,,,,,,,
G ,"Samples, explosive, other than initiating explosives",,UN0190,II,,113,None,62,None,Forbidden,Forbidden,14,,,
,"Sand acid, see Fluorosilicic acid",,,,,,,,,,,,,,
,"Seed cake, containing vegetable oil solvent extractions and expelled seeds, with not > 10% of oil and when the amount of moisture is higher than 11%, with not > 20% of oil and moisture combined",4.2,UN1386,III,None,"IB8, IP3, IP7, N7",None,213,241,Forbidden,Forbidden,A,13,,
I ,Seed cake with > 1.5% oil and not > 11% moisture,4.2,UN1386,III,None,"IB8, IP3, IP7, N7",None,213,241,Forbidden,Forbidden,E,13,,
I ,Seed cake with not > 1.5% oil and not > 11% moisture,4.2,UN2217,III,None,"IB8, IP3, IP7, N7",None,213,241,Forbidden,Forbidden,A,13,,
,Selenates or Selenites,6.1,UN2630,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,E,,,
,Selenic acid,8,UN1905,I,8,"IB7, IP1, N34, T6, TP33",None,211,242,Forbidden,25 kg,A,,,
,"Selenium compound, liquid, n.o.s.",6.1,UN3440,I,6.1,"T14, TP2, TP27",None,201,243,1 L,30 L,B,,,
,"Selenium compound, liquid, n.o.s.",6.1,UN3440,II,6.1,"IB2, T11, TP2, TP27",153,202,243,5 L,60 L,B,,,
,"Selenium compound, liquid, n.o.s.",6.1,UN3440,III,6.1,"IB3, T7, TP1, TP28",153,203,241,60 L,220 L,A,,,
,"Selenium compound, solid, n.o.s.",6.1,UN3283,III,6.1,"IB8, IP3, T1, TP33",153,213,240,100 kg,200 kg,A,,,
,"Selenium compound, solid, n.o.s.",6.1,UN3283,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,B,,,
,"Selenium compound, solid, n.o.s.",6.1,UN3283,I,6.1,"IB7, IP1, T6, TP33",None,211,242,5 kg,50 kg,B,,,
,Selenium disulfide,6.1,UN2657,II,6.1,"IB8, IP2, IP4, T3, TP33",153,212,242,25 kg,100 kg,A,,,
,Selenium hexafluoride,2.3,UN2194,,"2.3, 8",1,None,302,None,Forbidden,Forbidden,D,40,,
,Selenium nitride,Forbidden,,,,,,,,,,,,,
,Selenium oxychloride,8,UN2879,I,"8, 6.1","A3, A6, A7, N34, T10, TP2, TP12, TP13",None,201,243,0.5 L,2.5 L,E,40,,
,"Self-defense spray, aerosol, see Aerosols, etc",,,,,,,,,,,,,,
+ A D ,"Self-defense spray, non-pressurized",9,NA3334,III,9,A37,155,203,None,No limit,No limit,A,,,
G ,"Self-heating liquid, corrosive, inorganic, n.o.s.",4.2,UN3188,II,"4.2, 8",IB2,None,202,243,1 L,5 L,C,,,
G ,"Self-heating liquid, corrosive, inorganic, n.o.s.",4.2,UN3188,III,"4.2, 8",IB2,None,203,241,5 L,60 L,C,,,
G ,"Self-heating liquid, corrosive, organic, n.o.s.",4.2,UN3185,II,"4.2, 8",IB2,None,202,243,1 L,5 L,C,,,
G ,"Self-heating liquid, corrosive, organic, n.o.s.",4.2,UN3185,III,"4.2, 8",IB2,None,203,241,5 L,60 L,C,,,
G ,"Self-heating liquid, inorganic, n.o.s.",4.2,UN3186,II,4.2,IB2,None,202,242,1 L,5 L,C,,,
G ,"Self-heating liquid, inorganic, n.o.s.",4.2,UN3186,III,4.2,IB2,None,203,241,5 L,60 L,C,,,
G ,"Self-heating liquid, organic, n.o.s.",4.2,UN3183,II,4.2,IB2,None,202,242,1 L,5 L,C,,,
G ,"Self-heating liquid, organic, n.o.s.",4.2,UN3183,III,4.2,IB2,None,203,241,5 L,60 L,C,,,
G ,"Self-heating liquid, toxic, inorganic, n.o.s.",4.2,UN3187,II,"4.2, 6.1",IB2,None,202,243,1 L,5 L,C,,,
G ,"Self-heating liquid, toxic, inorganic, n.o.s.",4.2,UN3187,III,"4.2, 6.1",IB2,None,203,241,5 L,60 L,C,,,
G ,"Self-heating liquid, toxic, organic, n.o.s.",4.2,UN3184,II,"4.2, 6.1",IB2,None,202,243,1 L,5 L,C,,,
G ,"Self-heating liquid, toxic, organic, n.o.s.",4.2,UN3184,III,"4.2, 6.1",IB2,None,203,241,5 L,60 L,C,,,
G ,"Self-heating solid, corrosive, inorganic, n.o.s.",4.2,UN3192,II,"4.2, 8","IB5, IP2, T3, TP33",None,212,242,15 kg,50 kg,C,,,
G ,"Self-heating solid, corrosive, inorganic, n.o.s.",4.2,UN3192,III,"4.2, 8","IB8, IP3, T1, TP33",None,213,242,25 kg,100 kg,C,,,
G ,"Self-heating, solid, corrosive, organic, n.o.s.",4.2,UN3126,II,"4.2, 8","IB5, IP2, T3, TP33",None,212,242,15 kg,50 kg,C,,,
G ,"Self-heating, solid, corrosive, organic, n.o.s.",4.2,UN3126,III,"4.2, 8","IB8, IP3, T1, TP33",None,213,242,25 kg,100 kg,C,,,
G ,"Self-heating solid, inorganic, n.o.s.",4.2,UN3190,II,4.2,"IB6, IP2, T3, TP33",None,212,241,15 kg,50 kg,C,,,
